wall,cpu,seed,pinned,pumps,paused,state,phase,path,computing,waypoints,clearanceProbes,moving,speed,x,y,z,targetId,targetDist,stillFor,failure
1789507594.378,8080.140,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,31.999,
1789507594.645,8080.407,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,32.266,
1789507594.912,8080.674,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,32.533,
1789507595.178,8080.940,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,32.799,
1789507595.445,8081.207,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,33.066,
1789507595.712,8081.473,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,33.332,
1789507595.980,8081.741,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,33.600,
1789507596.245,8082.007,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,33.866,
1789507596.512,8082.273,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,34.132,
1789507596.778,8082.539,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,34.399,
1789507597.046,8082.807,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,34.666,
1789507597.312,8083.073,0.000,nil,2.000,false,ATTACK,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,34.933,
1789507597.578,8083.340,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,35.199,
1789507597.845,8083.607,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,35.466,
1789507598.112,8083.873,0.000,nil,2.000,false,CHASE,ACTIVE,ARRIVED,false,0.000,0.000,false,0.000,-640.240,4.480,-218.043,40920547.000,0.512,35.732,
